Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
ZFAND2B,1.93E-01,5.04E-01,8.04E-01,-1.24E+00,5.65E+00,7.03E+00
HIST1H2BN,4.07E-01,7.25E-01,8.04E-01,-1.24E+00,1.74E+00,2.17E+00
HCFC1,3.68E-02,1.93E-01,8.04E-01,-1.24E+00,8.59E+01,1.07E+02
SNRPCP2,1.90E-01,5.00E-01,8.04E-01,-1.24E+00,2.22E+00,2.76E+00
CRTAP,2.15E-01,5.30E-01,8.04E-01,-1.24E+00,8.44E+01,1.05E+02
AC103591.3,4.58E-01,7.62E-01,8.04E-01,-1.24E+00,7.00E-01,8.70E-01
B4GALT2,6.31E-02,2.72E-01,8.04E-01,-1.24E+00,4.94E+01,6.15E+01
ZNF576,1.28E-01,4.04E-01,8.04E-01,-1.24E+00,1.52E+01,1.89E+01
CEP170,1.58E-02,1.14E-01,8.04E-01,-1.24E+00,4.26E+01,5.29E+01
TRUB2,2.24E-02,1.42E-01,8.04E-01,-1.24E+00,3.01E+01,3.74E+01
MRPL48,3.86E-03,4.48E-02,8.04E-01,-1.24E+00,3.21E+01,4.00E+01
SLK,3.90E-04,8.81E-03,8.04E-01,-1.24E+00,1.60E+02,1.99E+02
GSKIP,2.50E-01,5.73E-01,8.04E-01,-1.24E+00,1.17E+01,1.45E+01
PLK1,9.49E-02,3.44E-01,8.04E-01,-1.24E+00,1.44E+02,1.79E+02
CNPY4,8.68E-01,9.55E-01,8.04E-01,-1.24E+00,2.75E+00,3.43E+00
SOCS7,3.67E-01,6.92E-01,8.03E-01,-1.24E+00,2.82E+01,3.51E+01
LIPE-AS1,2.58E-01,5.81E-01,8.03E-01,-1.24E+00,6.09E+00,7.58E+00
TYMSOS,1.52E-01,4.44E-01,8.03E-01,-1.24E+00,8.16E+00,1.02E+01
ST13P6,3.23E-01,6.52E-01,8.03E-01,-1.24E+00,3.76E+00,4.67E+00
IPO4,2.53E-02,1.54E-01,8.03E-01,-1.25E+00,3.88E+01,4.83E+01
POLR2J,3.35E-02,1.84E-01,8.03E-01,-1.25E+00,7.28E+01,9.06E+01
LINC00324,1.13E-01,3.78E-01,8.03E-01,-1.25E+00,9.90E+00,1.23E+01
NDUFV1,7.68E-02,3.05E-01,8.03E-01,-1.25E+00,4.05E+01,5.04E+01
RPS2P5,5.50E-01,8.18E-01,8.03E-01,-1.25E+00,8.28E+01,1.03E+02
AGK,1.49E-01,4.38E-01,8.03E-01,-1.25E+00,6.11E+00,7.61E+00
ATP5MGL,2.26E-01,5.44E-01,8.03E-01,-1.25E+00,4.33E+00,5.39E+00
MSMO1,7.19E-02,2.91E-01,8.03E-01,-1.25E+00,2.63E+01,3.28E+01
SNHG17,6.70E-02,2.82E-01,8.03E-01,-1.25E+00,4.04E+01,5.03E+01
MAPK7,8.80E-01,9.60E-01,8.03E-01,-1.25E+00,1.93E+00,2.40E+00
SIK2,3.08E-01,6.37E-01,8.03E-01,-1.25E+00,6.11E+00,7.61E+00
PGBD4,2.59E-01,5.83E-01,8.02E-01,-1.25E+00,1.25E+01,1.56E+01
PSMB10,3.47E-02,1.87E-01,8.02E-01,-1.25E+00,2.12E+01,2.64E+01
DUBR,2.96E-01,6.25E-01,8.02E-01,-1.25E+00,3.34E+00,4.16E+00
SLC9A6,6.63E-01,8.70E-01,8.02E-01,-1.25E+00,6.23E+00,7.77E+00
SUGT1P2,8.21E-01,9.38E-01,8.02E-01,-1.25E+00,1.19E+00,1.48E+00
BTBD19,9.55E-01,9.86E-01,8.02E-01,-1.25E+00,1.05E+00,1.30E+00
RNPEP,2.09E-01,5.23E-01,8.02E-01,-1.25E+00,3.25E+01,4.05E+01
ZNF512B,1.87E-01,4.96E-01,8.02E-01,-1.25E+00,1.42E+01,1.76E+01
TSPYL2,3.20E-01,6.48E-01,8.02E-01,-1.25E+00,5.99E+00,7.47E+00
LARS2,9.87E-02,3.51E-01,8.02E-01,-1.25E+00,8.51E+00,1.06E+01
NRSN2-AS1,2.71E-01,5.97E-01,8.02E-01,-1.25E+00,9.46E-01,1.18E+00
CDK5R1,2.99E-01,6.27E-01,8.02E-01,-1.25E+00,4.99E+00,6.23E+00
ALMS1,3.97E-02,2.03E-01,8.02E-01,-1.25E+00,1.33E+01,1.66E+01
LRRC37B,5.97E-01,8.44E-01,8.02E-01,-1.25E+00,6.93E+00,8.64E+00
TARSL2,4.01E-01,7.19E-01,8.02E-01,-1.25E+00,6.35E+00,7.92E+00
C1GALT1C1,3.63E-01,6.87E-01,8.02E-01,-1.25E+00,6.92E+00,8.63E+00
PMPCA,4.42E-02,2.18E-01,8.01E-01,-1.25E+00,1.61E+01,2.01E+01
RPS15,5.74E-02,2.58E-01,8.01E-01,-1.25E+00,4.63E+02,5.78E+02
CPE,3.89E-01,7.12E-01,8.01E-01,-1.25E+00,3.03E+00,3.78E+00
FAM86EP,6.38E-01,8.59E-01,8.01E-01,-1.25E+00,5.79E+00,7.22E+00
CDCA8,4.66E-03,5.09E-02,8.01E-01,-1.25E+00,4.73E+01,5.91E+01
DDX10P2,1.93E-01,5.04E-01,8.01E-01,-1.25E+00,4.13E+00,5.15E+00
SEC22B,2.44E-02,1.50E-01,8.01E-01,-1.25E+00,1.88E+01,2.35E+01
PCGF2,7.83E-02,3.08E-01,8.01E-01,-1.25E+00,2.44E+01,3.04E+01
POLH,2.78E-01,6.04E-01,8.01E-01,-1.25E+00,5.33E+00,6.66E+00
LRRC40,6.16E-01,8.52E-01,8.01E-01,-1.25E+00,7.21E+00,9.01E+00
PSMD9,1.55E-01,4.48E-01,8.01E-01,-1.25E+00,6.32E+01,7.89E+01
NANS,2.94E-02,1.69E-01,8.01E-01,-1.25E+00,2.20E+01,2.75E+01
MPLKIP,1.34E-01,4.14E-01,8.01E-01,-1.25E+00,1.90E+01,2.37E+01
STRIP1,6.72E-02,2.82E-01,8.01E-01,-1.25E+00,1.21E+01,1.51E+01
UAP1L1,4.31E-01,7.42E-01,8.01E-01,-1.25E+00,4.49E+00,5.61E+00
NCOA6,3.12E-02,1.76E-01,8.01E-01,-1.25E+00,3.39E+01,4.23E+01
TADA1,2.16E-01,5.32E-01,8.01E-01,-1.25E+00,5.55E+00,6.93E+00
TMEM201,1.95E-01,5.05E-01,8.01E-01,-1.25E+00,1.15E+01,1.43E+01
TOM1L2,9.23E-02,3.39E-01,8.00E-01,-1.25E+00,1.24E+01,1.55E+01
MPC1,4.39E-01,7.49E-01,8.00E-01,-1.25E+00,3.96E+00,4.95E+00
FAM169A,2.43E-01,5.64E-01,8.00E-01,-1.25E+00,1.07E+01,1.34E+01
AC239868.1,3.30E-01,6.59E-01,8.00E-01,-1.25E+00,2.10E+00,2.62E+00
HGSNAT,9.56E-02,3.44E-01,8.00E-01,-1.25E+00,2.88E+01,3.60E+01
ZBED1,1.70E-02,1.20E-01,8.00E-01,-1.25E+00,2.96E+01,3.70E+01
LDLRAP1,1.60E-01,4.55E-01,8.00E-01,-1.25E+00,1.45E+01,1.82E+01
RPL13P12,4.09E-01,7.25E-01,8.00E-01,-1.25E+00,2.43E+01,3.04E+01
DPY19L4,3.34E-01,6.62E-01,8.00E-01,-1.25E+00,1.15E+01,1.44E+01
PRDM5,3.43E-01,6.69E-01,8.00E-01,-1.25E+00,2.49E+00,3.11E+00
RTF1,2.84E-02,1.65E-01,8.00E-01,-1.25E+00,6.86E+01,8.57E+01
RNF169,2.79E-02,1.64E-01,8.00E-01,-1.25E+00,2.00E+01,2.50E+01
MYO9B,7.31E-02,2.95E-01,8.00E-01,-1.25E+00,1.51E+01,1.89E+01
STARD9,8.01E-01,9.30E-01,8.00E-01,-1.25E+00,2.20E+00,2.75E+00
MYPOP,3.97E-01,7.16E-01,8.00E-01,-1.25E+00,1.01E+01,1.27E+01
ESS2,2.32E-01,5.51E-01,7.99E-01,-1.25E+00,5.20E+00,6.50E+00
SDF4,5.86E-03,5.95E-02,7.99E-01,-1.25E+00,6.28E+01,7.86E+01
ATP11A,2.84E-01,6.10E-01,7.99E-01,-1.25E+00,9.32E+00,1.17E+01
SLC25A15,3.60E-01,6.85E-01,7.99E-01,-1.25E+00,1.89E+00,2.36E+00
USP19,1.45E-01,4.33E-01,7.99E-01,-1.25E+00,6.54E+00,8.18E+00
NBPF15,2.00E-01,5.13E-01,7.99E-01,-1.25E+00,1.21E+01,1.52E+01
CMTM6,4.59E-02,2.23E-01,7.99E-01,-1.25E+00,8.95E+01,1.12E+02
FAM174A,2.78E-01,6.04E-01,7.99E-01,-1.25E+00,2.95E+00,3.69E+00
BCL7C,9.31E-02,3.40E-01,7.99E-01,-1.25E+00,1.30E+01,1.63E+01
SLC29A1,2.10E-01,5.23E-01,7.99E-01,-1.25E+00,2.99E+01,3.74E+01
TICRR,1.53E-01,4.46E-01,7.99E-01,-1.25E+00,1.30E+01,1.63E+01
NPDC1,1.05E-01,3.64E-01,7.99E-01,-1.25E+00,7.55E+00,9.44E+00
ACSS2,8.40E-02,3.21E-01,7.99E-01,-1.25E+00,4.65E+00,5.82E+00
BRMS1,5.79E-02,2.60E-01,7.99E-01,-1.25E+00,2.53E+01,3.16E+01
C1orf174,4.86E-01,7.78E-01,7.99E-01,-1.25E+00,5.19E+00,6.50E+00
INTS9,5.07E-01,7.91E-01,7.99E-01,-1.25E+00,2.71E+00,3.39E+00
CTBP1,2.68E-01,5.93E-01,7.99E-01,-1.25E+00,4.31E+01,5.40E+01
RETREG3,2.44E-01,5.66E-01,7.99E-01,-1.25E+00,1.50E+01,1.88E+01
SMARCD2,6.67E-02,2.81E-01,7.99E-01,-1.25E+00,4.04E+01,5.05E+01
RIOK2,1.75E-01,4.77E-01,7.98E-01,-1.25E+00,1.03E+01,1.30E+01
PTK7,5.12E-01,7.94E-01,7.98E-01,-1.25E+00,1.06E+00,1.32E+00
PPP2R1A,9.37E-02,3.41E-01,7.98E-01,-1.25E+00,5.25E+01,6.57E+01
PTPA,5.27E-02,2.44E-01,7.98E-01,-1.25E+00,2.68E+01,3.36E+01
COX14,7.01E-03,6.75E-02,7.98E-01,-1.25E+00,6.94E+01,8.69E+01
PI4K2B,6.65E-02,2.81E-01,7.98E-01,-1.25E+00,2.19E+00,2.74E+00
LINC02210,9.43E-02,3.42E-01,7.98E-01,-1.25E+00,7.07E+00,8.85E+00
UQCRC1,4.10E-02,2.07E-01,7.98E-01,-1.25E+00,4.74E+01,5.94E+01
BUB3,6.34E-04,1.28E-02,7.98E-01,-1.25E+00,1.28E+02,1.60E+02
AL049840.4,5.99E-02,2.64E-01,7.98E-01,-1.25E+00,9.83E+00,1.23E+01
AMMECR1,1.03E-01,3.59E-01,7.97E-01,-1.25E+00,2.47E+01,3.09E+01
GGACT,4.76E-01,7.72E-01,7.97E-01,-1.25E+00,2.00E+00,2.51E+00
HMGB1P6,1.38E-01,4.22E-01,7.97E-01,-1.25E+00,7.91E+01,9.92E+01
SYNJ2BP-COX16,2.48E-01,5.71E-01,7.97E-01,-1.25E+00,5.14E+01,6.45E+01
ARFGAP2,8.39E-02,3.21E-01,7.97E-01,-1.25E+00,1.19E+01,1.50E+01
MSN,8.10E-04,1.52E-02,7.97E-01,-1.25E+00,1.51E+02,1.89E+02
EPM2AIP1,6.78E-03,6.59E-02,7.97E-01,-1.25E+00,3.95E+01,4.95E+01
UQCR11,2.08E-03,2.90E-02,7.97E-01,-1.26E+00,1.17E+02,1.46E+02
TWF2,3.73E-01,6.96E-01,7.97E-01,-1.26E+00,3.34E+01,4.19E+01
PRSS23,2.04E-01,5.17E-01,7.97E-01,-1.26E+00,2.76E+02,3.46E+02
ANXA8,3.22E-01,6.51E-01,7.97E-01,-1.26E+00,2.45E+01,3.08E+01
GUK1,2.29E-03,3.10E-02,7.97E-01,-1.26E+00,3.04E+01,3.81E+01
PSRC1,1.30E-01,4.09E-01,7.97E-01,-1.26E+00,1.25E+01,1.57E+01
AL138756.1,6.17E-01,8.52E-01,7.97E-01,-1.26E+00,1.25E+00,1.57E+00
FAAP100,1.10E-01,3.72E-01,7.96E-01,-1.26E+00,1.32E+01,1.66E+01
LIX1L,4.94E-01,7.82E-01,7.96E-01,-1.26E+00,5.79E+00,7.27E+00
EEF1DP1,9.13E-01,9.73E-01,7.96E-01,-1.26E+00,1.31E+00,1.64E+00
AC008753.1,8.52E-01,9.50E-01,7.96E-01,-1.26E+00,6.94E-01,8.72E-01
STPG1,2.61E-01,5.86E-01,7.96E-01,-1.26E+00,1.76E+00,2.21E+00
TWIST2,4.34E-01,7.44E-01,7.96E-01,-1.26E+00,4.86E+00,6.11E+00
MBOAT2,4.07E-02,2.06E-01,7.96E-01,-1.26E+00,1.98E+01,2.49E+01
DIS3L,2.77E-02,1.63E-01,7.96E-01,-1.26E+00,3.17E+01,3.98E+01
TEPSIN,1.33E-01,4.13E-01,7.96E-01,-1.26E+00,1.23E+01,1.54E+01
ARHGDIA,1.53E-02,1.12E-01,7.96E-01,-1.26E+00,1.28E+02,1.61E+02
DOCK9,1.61E-01,4.55E-01,7.96E-01,-1.26E+00,4.60E+00,5.78E+00
RPA1,6.77E-02,2.83E-01,7.96E-01,-1.26E+00,4.97E+01,6.25E+01
UTP4,8.54E-03,7.60E-02,7.95E-01,-1.26E+00,7.97E+01,1.00E+02
EMC9,9.31E-02,3.40E-01,7.95E-01,-1.26E+00,2.02E+01,2.54E+01
RFNG,1.44E-01,4.31E-01,7.95E-01,-1.26E+00,1.96E+01,2.46E+01
FKBP1B,5.67E-01,8.29E-01,7.95E-01,-1.26E+00,3.30E+00,4.15E+00
PAGR1,2.16E-02,1.40E-01,7.95E-01,-1.26E+00,4.83E+01,6.07E+01
NARFL,2.68E-01,5.93E-01,7.95E-01,-1.26E+00,5.24E+00,6.59E+00
MARCKSL1,2.04E-01,5.17E-01,7.95E-01,-1.26E+00,1.33E+01,1.67E+01
HACL1,3.65E-01,6.90E-01,7.95E-01,-1.26E+00,5.71E+00,7.18E+00
FAM120AOS,2.71E-02,1.61E-01,7.95E-01,-1.26E+00,2.86E+01,3.60E+01
NUDT6,2.86E-01,6.12E-01,7.95E-01,-1.26E+00,3.37E+00,4.24E+00
UBOX5,2.32E-01,5.51E-01,7.95E-01,-1.26E+00,4.65E+00,5.85E+00
TIMM50,2.93E-02,1.69E-01,7.95E-01,-1.26E+00,1.11E+02,1.39E+02
HNRNPH1,8.39E-03,7.54E-02,7.94E-01,-1.26E+00,3.00E+02,3.77E+02
E4F1,1.45E-01,4.32E-01,7.94E-01,-1.26E+00,7.10E+00,8.94E+00
RPS28P7,1.48E-01,4.38E-01,7.94E-01,-1.26E+00,2.61E+01,3.29E+01
CHST3,6.12E-02,2.68E-01,7.94E-01,-1.26E+00,2.18E+01,2.74E+01
AJUBA,2.30E-01,5.49E-01,7.94E-01,-1.26E+00,2.15E+01,2.70E+01
CXXC1,1.14E-01,3.80E-01,7.94E-01,-1.26E+00,1.55E+01,1.95E+01
PPP1R3D,1.64E-01,4.59E-01,7.94E-01,-1.26E+00,5.75E+00,7.24E+00
STOM,2.54E-02,1.54E-01,7.94E-01,-1.26E+00,3.34E+01,4.21E+01
TPCN2,1.35E-01,4.16E-01,7.94E-01,-1.26E+00,1.29E+01,1.62E+01
NDUFAF8,1.85E-02,1.27E-01,7.94E-01,-1.26E+00,2.23E+02,2.81E+02
BLMH,2.58E-03,3.37E-02,7.94E-01,-1.26E+00,6.28E+01,7.92E+01
TARDBP,1.99E-02,1.33E-01,7.93E-01,-1.26E+00,1.11E+02,1.39E+02
AC092718.4,1.17E-02,9.36E-02,7.93E-01,-1.26E+00,2.24E+01,2.83E+01
KCTD20,1.52E-02,1.12E-01,7.93E-01,-1.26E+00,1.82E+01,2.29E+01
CAPRIN2,8.11E-02,3.14E-01,7.93E-01,-1.26E+00,2.51E+01,3.16E+01
PPP6R1,1.55E-01,4.48E-01,7.93E-01,-1.26E+00,3.60E+01,4.54E+01
ANKRD28,9.01E-02,3.34E-01,7.93E-01,-1.26E+00,2.58E+01,3.25E+01
YWHAQ,1.06E-02,8.74E-02,7.93E-01,-1.26E+00,3.74E+02,4.71E+02
NEDD4,5.47E-03,5.64E-02,7.93E-01,-1.26E+00,7.05E+01,8.89E+01
MOB3A,3.05E-01,6.34E-01,7.93E-01,-1.26E+00,3.23E+00,4.08E+00
CAPZB,3.60E-01,6.84E-01,7.93E-01,-1.26E+00,8.99E+01,1.13E+02
SNRPN,4.57E-03,5.05E-02,7.93E-01,-1.26E+00,5.93E+01,7.48E+01
RCCD1,9.54E-04,1.69E-02,7.93E-01,-1.26E+00,4.13E+01,5.21E+01
SLC38A2,3.32E-03,4.01E-02,7.93E-01,-1.26E+00,9.88E+01,1.25E+02
MLH1,9.56E-02,3.44E-01,7.93E-01,-1.26E+00,2.13E+01,2.68E+01
MAN2A2,8.51E-02,3.22E-01,7.93E-01,-1.26E+00,1.18E+01,1.49E+01
PIGT,4.72E-02,2.27E-01,7.93E-01,-1.26E+00,5.07E+01,6.40E+01
SLCO3A1,8.96E-01,9.64E-01,7.93E-01,-1.26E+00,3.02E+01,3.82E+01
RPL23P8,4.01E-01,7.19E-01,7.92E-01,-1.26E+00,3.24E+00,4.09E+00
PIK3R2,5.62E-02,2.55E-01,7.92E-01,-1.26E+00,1.89E+01,2.38E+01
BRAF,1.25E-01,4.00E-01,7.92E-01,-1.26E+00,8.05E+00,1.02E+01
ABCC3,8.69E-04,1.60E-02,7.92E-01,-1.26E+00,6.65E+01,8.39E+01
GADD45A,9.80E-03,8.36E-02,7.92E-01,-1.26E+00,1.89E+01,2.38E+01
NUDT16,1.25E-01,4.00E-01,7.92E-01,-1.26E+00,1.05E+01,1.33E+01
CHKA,2.88E-01,6.15E-01,7.92E-01,-1.26E+00,1.35E+01,1.70E+01
TYK2,8.84E-02,3.30E-01,7.92E-01,-1.26E+00,1.12E+01,1.41E+01
EEFSEC,2.96E-01,6.25E-01,7.92E-01,-1.26E+00,4.78E+00,6.04E+00
SF3A3,4.63E-03,5.08E-02,7.92E-01,-1.26E+00,6.06E+01,7.66E+01
SNX25,4.52E-01,7.58E-01,7.92E-01,-1.26E+00,3.12E+00,3.93E+00
TSPAN5,6.70E-02,2.82E-01,7.92E-01,-1.26E+00,2.57E+01,3.24E+01
RAP1BP3,4.68E-01,7.66E-01,7.92E-01,-1.26E+00,1.93E+00,2.43E+00
H2AFJ,4.36E-02,2.15E-01,7.92E-01,-1.26E+00,5.42E+01,6.84E+01
ALKBH3,6.14E-02,2.68E-01,7.92E-01,-1.26E+00,1.07E+01,1.36E+01
AC131206.1,1.41E-01,4.27E-01,7.92E-01,-1.26E+00,1.11E+01,1.40E+01
DDIT4L,1.14E-01,3.80E-01,7.92E-01,-1.26E+00,4.51E-01,5.69E-01
FADS1,1.13E-04,3.49E-03,7.91E-01,-1.26E+00,4.11E+02,5.20E+02
BPHL,3.89E-01,7.11E-01,7.91E-01,-1.26E+00,5.44E+00,6.87E+00
GNA12,2.42E-01,5.64E-01,7.91E-01,-1.26E+00,2.73E+01,3.45E+01
AC025048.6,1.93E-01,5.04E-01,7.91E-01,-1.26E+00,9.75E+00,1.23E+01
LRRC20,1.60E-01,4.55E-01,7.91E-01,-1.26E+00,8.73E+00,1.10E+01
PAM16,1.44E-01,4.31E-01,7.91E-01,-1.26E+00,6.35E+00,8.02E+00
FMNL3,5.29E-01,8.06E-01,7.91E-01,-1.26E+00,2.09E+00,2.64E+00
IGF1R,3.02E-03,3.74E-02,7.91E-01,-1.26E+00,6.19E+01,7.83E+01
BTBD1,8.58E-02,3.24E-01,7.91E-01,-1.26E+00,7.40E+00,9.36E+00
HDAC3,1.11E-02,9.03E-02,7.91E-01,-1.26E+00,2.32E+01,2.93E+01
CBX3P9,3.94E-01,7.15E-01,7.91E-01,-1.26E+00,2.19E+01,2.77E+01
SURF4,1.81E-02,1.25E-01,7.91E-01,-1.26E+00,7.57E+01,9.58E+01
CUL4B,3.59E-01,6.84E-01,7.91E-01,-1.26E+00,3.65E+01,4.61E+01
HERC4,9.91E-02,3.51E-01,7.91E-01,-1.26E+00,2.97E+01,3.76E+01
MRC2,4.35E-02,2.15E-01,7.91E-01,-1.26E+00,2.18E+01,2.76E+01
THAP7,4.66E-02,2.25E-01,7.91E-01,-1.26E+00,7.18E+00,9.08E+00
SELENOW,6.36E-02,2.73E-01,7.91E-01,-1.26E+00,8.23E+01,1.04E+02
ETS1,2.22E-01,5.39E-01,7.91E-01,-1.26E+00,7.21E+00,9.12E+00
LPIN2,2.87E-02,1.66E-01,7.91E-01,-1.27E+00,1.90E+01,2.40E+01
C9orf16,3.87E-01,7.10E-01,7.90E-01,-1.27E+00,3.46E+00,4.38E+00
DHRS11,1.41E-01,4.26E-01,7.90E-01,-1.27E+00,5.93E+00,7.50E+00
PWWP2A,3.44E-02,1.86E-01,7.90E-01,-1.27E+00,2.52E+01,3.19E+01
IKBKG,6.24E-02,2.70E-01,7.90E-01,-1.27E+00,3.17E+01,4.01E+01
ZFYVE27,1.27E-01,4.03E-01,7.90E-01,-1.27E+00,7.58E+00,9.60E+00
SNHG8,1.87E-01,4.96E-01,7.90E-01,-1.27E+00,3.67E+01,4.64E+01
PLK3,1.99E-01,5.12E-01,7.90E-01,-1.27E+00,3.51E+00,4.44E+00
FAHD2B,4.91E-01,7.81E-01,7.90E-01,-1.27E+00,2.24E+00,2.83E+00
TUBB6,6.31E-02,2.72E-01,7.90E-01,-1.27E+00,1.16E+02,1.46E+02
EGFL7,3.38E-01,6.64E-01,7.90E-01,-1.27E+00,5.63E+00,7.13E+00
NR6A1,2.99E-01,6.27E-01,7.90E-01,-1.27E+00,4.72E+00,5.97E+00
SIRT3,2.17E-01,5.34E-01,7.90E-01,-1.27E+00,7.06E+00,8.94E+00
AP1S2,1.59E-02,1.15E-01,7.90E-01,-1.27E+00,2.77E+01,3.51E+01
RAF1,2.35E-01,5.54E-01,7.90E-01,-1.27E+00,7.32E+00,9.27E+00
ANKRD23,4.05E-01,7.23E-01,7.90E-01,-1.27E+00,2.18E+00,2.76E+00
SACS,1.75E-03,2.56E-02,7.90E-01,-1.27E+00,4.47E+01,5.65E+01
CDH4,8.34E-01,9.42E-01,7.90E-01,-1.27E+00,2.39E+01,3.02E+01
AC004057.1,4.47E-01,7.54E-01,7.90E-01,-1.27E+00,4.55E+01,5.77E+01
IMP3,5.73E-02,2.58E-01,7.90E-01,-1.27E+00,1.68E+02,2.13E+02
CD47,3.79E-02,1.97E-01,7.90E-01,-1.27E+00,2.93E+01,3.72E+01
WNT7B,7.49E-02,3.00E-01,7.89E-01,-1.27E+00,1.41E+02,1.79E+02
RBM17P4,4.00E-01,7.18E-01,7.89E-01,-1.27E+00,3.61E+00,4.57E+00
RAP1GDS1,8.42E-02,3.21E-01,7.89E-01,-1.27E+00,1.31E+01,1.66E+01
TMEM138,6.85E-01,8.81E-01,7.89E-01,-1.27E+00,1.60E+01,2.03E+01
IQSEC1,3.65E-02,1.92E-01,7.89E-01,-1.27E+00,1.81E+01,2.29E+01
SMS,2.89E-01,6.17E-01,7.89E-01,-1.27E+00,1.35E+02,1.71E+02
TSTD2,1.62E-01,4.58E-01,7.89E-01,-1.27E+00,9.96E+00,1.26E+01
CLDN1,2.20E-01,5.36E-01,7.89E-01,-1.27E+00,2.27E+01,2.87E+01
SNX29,2.97E-01,6.26E-01,7.89E-01,-1.27E+00,2.22E+00,2.82E+00
SCD,1.39E-01,4.22E-01,7.89E-01,-1.27E+00,3.92E+02,4.97E+02
FMR1,8.57E-04,1.58E-02,7.88E-01,-1.27E+00,4.99E+01,6.32E+01
SUV39H1,2.66E-01,5.91E-01,7.88E-01,-1.27E+00,8.35E+00,1.06E+01
MTSS1L,7.07E-02,2.88E-01,7.88E-01,-1.27E+00,2.17E+01,2.76E+01
GPS1,6.10E-02,2.67E-01,7.88E-01,-1.27E+00,6.01E+01,7.62E+01
PDE6D,4.11E-01,7.27E-01,7.88E-01,-1.27E+00,4.39E+00,5.56E+00
HMGB1P5,5.16E-02,2.41E-01,7.88E-01,-1.27E+00,9.69E+02,1.23E+03
RPL34P27,9.38E-02,3.41E-01,7.88E-01,-1.27E+00,7.04E+01,8.94E+01
EPHX2,8.47E-01,9.48E-01,7.88E-01,-1.27E+00,6.73E+00,8.54E+00
DCAF4,2.06E-02,1.36E-01,7.88E-01,-1.27E+00,1.06E+01,1.35E+01
ATP9A,8.20E-01,9.38E-01,7.88E-01,-1.27E+00,2.06E+01,2.61E+01
BNC2,9.94E-03,8.42E-02,7.88E-01,-1.27E+00,1.65E+01,2.10E+01
HIGD1A,5.23E-02,2.43E-01,7.88E-01,-1.27E+00,3.66E+01,4.65E+01
CDK20,4.03E-01,7.21E-01,7.88E-01,-1.27E+00,1.22E+00,1.55E+00
LSS,1.13E-01,3.77E-01,7.88E-01,-1.27E+00,8.86E+00,1.12E+01
DMTN,8.44E-01,9.47E-01,7.88E-01,-1.27E+00,8.19E+00,1.04E+01
AC007969.1,4.56E-02,2.22E-01,7.88E-01,-1.27E+00,1.10E+02,1.40E+02
HSPA1L,6.01E-01,8.46E-01,7.88E-01,-1.27E+00,2.51E+00,3.19E+00
MYL12A,2.77E-01,6.04E-01,7.88E-01,-1.27E+00,6.39E+01,8.11E+01
PRKAB1,1.49E-01,4.38E-01,7.88E-01,-1.27E+00,7.08E+00,8.99E+00
TRA2A,2.03E-02,1.35E-01,7.88E-01,-1.27E+00,6.40E+01,8.12E+01
POLR3E,7.08E-02,2.89E-01,7.87E-01,-1.27E+00,1.13E+01,1.44E+01
DGAT1,8.65E-02,3.26E-01,7.87E-01,-1.27E+00,9.89E+00,1.26E+01
PTPN9,6.13E-02,2.68E-01,7.87E-01,-1.27E+00,1.39E+01,1.77E+01
CELF1,1.10E-02,8.95E-02,7.87E-01,-1.27E+00,1.59E+02,2.03E+02
SNX15,2.98E-01,6.27E-01,7.87E-01,-1.27E+00,6.62E+00,8.41E+00
NOL9,4.21E-03,4.76E-02,7.87E-01,-1.27E+00,3.54E+01,4.50E+01
ZNF670,2.67E-01,5.92E-01,7.87E-01,-1.27E+00,3.37E+00,4.28E+00
MRPS27,1.39E-01,4.22E-01,7.87E-01,-1.27E+00,5.49E+01,6.98E+01
KCTD17,2.19E-01,5.35E-01,7.87E-01,-1.27E+00,1.45E+01,1.84E+01
CLN6,3.27E-02,1.81E-01,7.87E-01,-1.27E+00,2.99E+01,3.80E+01
SCRIB,3.26E-02,1.80E-01,7.87E-01,-1.27E+00,2.99E+01,3.80E+01
TCF12,2.58E-02,1.56E-01,7.87E-01,-1.27E+00,2.97E+01,3.77E+01
CHCHD4,8.55E-04,1.58E-02,7.87E-01,-1.27E+00,3.22E+01,4.09E+01
SRF,2.54E-01,5.77E-01,7.86E-01,-1.27E+00,2.49E+01,3.17E+01
MPP3,3.26E-01,6.54E-01,7.86E-01,-1.27E+00,6.43E+00,8.18E+00
ZNF574,2.34E-01,5.53E-01,7.86E-01,-1.27E+00,8.65E+00,1.10E+01
RNF219,9.23E-02,3.39E-01,7.86E-01,-1.27E+00,1.39E+01,1.76E+01
ZNF761,2.15E-01,5.31E-01,7.86E-01,-1.27E+00,4.39E+00,5.59E+00
EXOC6B,8.92E-02,3.32E-01,7.86E-01,-1.27E+00,1.46E+01,1.86E+01
