Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
ITPKA,8.53E-01,9.63E-01,7.11E-01,-1.41E+00,6.86E-01,9.65E-01,#NUM!
MAGEF1,3.65E-02,2.19E-01,7.11E-01,-1.41E+00,1.36E+01,1.91E+01,#NUM!
FTH1P7,2.08E-01,5.51E-01,7.11E-01,-1.41E+00,3.70E+00,5.20E+00,#NUM!
CEPT1,1.65E-04,5.23E-03,7.10E-01,-1.41E+00,1.30E+01,1.84E+01,#NUM!
NTAN1,6.75E-04,1.51E-02,7.10E-01,-1.41E+00,2.21E+01,3.12E+01,#NUM!
F8,1.50E-01,4.71E-01,7.10E-01,-1.41E+00,2.20E+00,3.10E+00,#NUM!
MYNN,3.54E-02,2.15E-01,7.10E-01,-1.41E+00,5.94E+00,8.36E+00,#NUM!
MAN2A2,1.48E-02,1.25E-01,7.10E-01,-1.41E+00,1.18E+01,1.66E+01,#NUM!
EXOC3-AS1,8.59E-02,3.58E-01,7.10E-01,-1.41E+00,4.45E+00,6.27E+00,#NUM!
RAD54L,1.63E-01,4.86E-01,7.10E-01,-1.41E+00,9.89E-01,1.39E+00,#NUM!
ZBTB8A,3.34E-02,2.07E-01,7.10E-01,-1.41E+00,8.74E+00,1.23E+01,#NUM!
ITPRIP,9.10E-03,9.26E-02,7.09E-01,-1.41E+00,1.13E+01,1.60E+01,#NUM!
MED17,9.89E-03,9.73E-02,7.09E-01,-1.41E+00,7.53E+00,1.06E+01,#NUM!
PHF8,7.63E-02,3.34E-01,7.09E-01,-1.41E+00,5.57E+00,7.85E+00,#NUM!
MYC,7.28E-01,9.20E-01,7.09E-01,-1.41E+00,5.23E+00,7.38E+00,#NUM!
SIM2,8.55E-01,9.63E-01,7.09E-01,-1.41E+00,7.87E+00,1.11E+01,#NUM!
AC093752.1,6.80E-01,8.96E-01,7.09E-01,-1.41E+00,1.63E+00,2.30E+00,#NUM!
ZNF566,1.34E-01,4.47E-01,7.08E-01,-1.41E+00,1.35E+01,1.91E+01,#NUM!
TMEM209,3.97E-02,2.30E-01,7.08E-01,-1.41E+00,9.85E+00,1.39E+01,#NUM!
PCLAF,4.88E-02,2.60E-01,7.08E-01,-1.41E+00,1.59E+02,2.25E+02,#NUM!
CDK2AP1,2.94E-01,6.43E-01,7.08E-01,-1.41E+00,8.13E+00,1.15E+01,#NUM!
AP001372.2,3.85E-01,7.25E-01,7.08E-01,-1.41E+00,1.28E+00,1.81E+00,#NUM!
HNRNPUP1,1.38E-01,4.54E-01,7.08E-01,-1.41E+00,3.54E+00,5.01E+00,#NUM!
TUB,2.03E-01,5.45E-01,7.07E-01,-1.41E+00,2.62E+00,3.71E+00,#NUM!
SNHG12,2.83E-04,7.80E-03,7.07E-01,-1.41E+00,1.73E+01,2.44E+01,#NUM!
SNW1,1.34E-04,4.41E-03,7.07E-01,-1.41E+00,6.21E+01,8.78E+01,#NUM!
ENDOG,2.83E-03,4.18E-02,7.07E-01,-1.41E+00,1.15E+01,1.63E+01,#NUM!
AP002360.1,3.41E-01,6.86E-01,7.07E-01,-1.41E+00,1.68E+00,2.38E+00,#NUM!
SSBP4,1.06E-02,1.01E-01,7.06E-01,-1.42E+00,1.26E+01,1.78E+01,#NUM!
KIAA0895L,1.25E-01,4.31E-01,7.06E-01,-1.42E+00,2.77E+00,3.92E+00,#NUM!
TMEM187,2.18E-02,1.59E-01,7.06E-01,-1.42E+00,7.39E+00,1.05E+01,#NUM!
AC020915.3,4.37E-02,2.43E-01,7.06E-01,-1.42E+00,6.12E+00,8.67E+00,#NUM!
TRIB3,1.15E-02,1.07E-01,7.06E-01,-1.42E+00,3.83E+01,5.42E+01,#NUM!
AC079140.2,8.42E-02,3.53E-01,7.05E-01,-1.42E+00,2.46E+01,3.48E+01,#NUM!
ZNF383,1.51E-01,4.72E-01,7.05E-01,-1.42E+00,2.84E+00,4.03E+00,#NUM!
ZNF559,5.47E-01,8.32E-01,7.05E-01,-1.42E+00,1.37E+00,1.95E+00,#NUM!
EYA4,9.58E-03,9.52E-02,7.05E-01,-1.42E+00,1.72E+01,2.44E+01,#NUM!
MINCR,1.59E-02,1.31E-01,7.04E-01,-1.42E+00,6.08E+00,8.64E+00,#NUM!
RPS18P9,9.70E-02,3.80E-01,7.04E-01,-1.42E+00,2.82E+00,4.01E+00,#NUM!
SMC4,9.86E-03,9.72E-02,7.04E-01,-1.42E+00,3.75E+02,5.32E+02,#NUM!
NFATC3,2.13E-03,3.45E-02,7.04E-01,-1.42E+00,1.99E+01,2.82E+01,#NUM!
C1S,3.94E-02,2.29E-01,7.04E-01,-1.42E+00,7.46E+00,1.06E+01,#NUM!
ERMAP,1.06E-01,3.96E-01,7.04E-01,-1.42E+00,1.38E+00,1.96E+00,#NUM!
PHF2,2.48E-02,1.72E-01,7.04E-01,-1.42E+00,9.41E+00,1.34E+01,#NUM!
MNX1,7.67E-01,9.34E-01,7.04E-01,-1.42E+00,1.12E+01,1.59E+01,#NUM!
RIN1,1.59E-02,1.31E-01,7.04E-01,-1.42E+00,8.65E+00,1.23E+01,#NUM!
CCDC144A,3.00E-01,6.48E-01,7.03E-01,-1.42E+00,3.18E+01,4.52E+01,#NUM!
RNPC3,8.66E-03,8.95E-02,7.03E-01,-1.42E+00,9.55E+00,1.36E+01,#NUM!
ATG4D,1.49E-01,4.70E-01,7.03E-01,-1.42E+00,3.35E+00,4.77E+00,#NUM!
HADH,7.88E-02,3.41E-01,7.03E-01,-1.42E+00,7.94E+00,1.13E+01,#NUM!
FAM8A1,1.46E-01,4.66E-01,7.03E-01,-1.42E+00,4.19E+00,5.97E+00,#NUM!
DPM3,3.88E-04,9.91E-03,7.03E-01,-1.42E+00,3.02E+01,4.29E+01,#NUM!
NUP210,7.59E-01,9.32E-01,7.03E-01,-1.42E+00,2.64E+01,3.76E+01,#NUM!
AC005840.1,5.24E-02,2.71E-01,7.03E-01,-1.42E+00,2.86E+00,4.08E+00,#NUM!
FMNL2,1.46E-03,2.62E-02,7.02E-01,-1.42E+00,3.02E+01,4.30E+01,#NUM!
FOXD1,2.18E-02,1.59E-01,7.02E-01,-1.42E+00,8.01E+00,1.14E+01,#NUM!
BTBD1,1.57E-02,1.30E-01,7.02E-01,-1.42E+00,7.40E+00,1.05E+01,#NUM!
ZNF564,3.94E-01,7.32E-01,7.02E-01,-1.42E+00,1.52E+00,2.17E+00,#NUM!
MND1,5.11E-04,1.23E-02,7.02E-01,-1.42E+00,1.61E+01,2.29E+01,#NUM!
FAM120AOS,1.78E-03,3.02E-02,7.02E-01,-1.42E+00,2.86E+01,4.08E+01,#NUM!
WDR31,1.55E-01,4.78E-01,7.02E-01,-1.42E+00,4.24E+00,6.04E+00,#NUM!
TOR4A,4.23E-03,5.55E-02,7.02E-01,-1.43E+00,3.43E+01,4.89E+01,#NUM!
ZNF133,6.12E-02,2.97E-01,7.01E-01,-1.43E+00,3.12E+00,4.45E+00,#NUM!
ARSK,6.46E-02,3.05E-01,7.01E-01,-1.43E+00,6.12E+00,8.73E+00,#NUM!
AC055813.1,3.10E-01,6.58E-01,7.01E-01,-1.43E+00,9.99E-01,1.43E+00,#NUM!
ABCD1,1.49E-01,4.70E-01,7.01E-01,-1.43E+00,8.27E-01,1.18E+00,#NUM!
TK2,6.22E-03,7.18E-02,7.01E-01,-1.43E+00,1.03E+01,1.46E+01,#NUM!
RABEPK,9.96E-04,2.00E-02,7.01E-01,-1.43E+00,2.31E+01,3.30E+01,#NUM!
HNRNPCP4,2.05E-02,1.54E-01,7.01E-01,-1.43E+00,4.71E+01,6.73E+01,#NUM!
URB1-AS1,1.40E-01,4.56E-01,7.00E-01,-1.43E+00,3.47E+00,4.95E+00,#NUM!
AC097376.2,1.05E-01,3.95E-01,7.00E-01,-1.43E+00,3.30E+00,4.71E+00,#NUM!
NCKIPSD,1.49E-02,1.26E-01,7.00E-01,-1.43E+00,4.63E+00,6.61E+00,#NUM!
MYOM2,3.38E-01,6.84E-01,7.00E-01,-1.43E+00,2.58E+00,3.69E+00,#NUM!
FAM102A,1.76E-02,1.40E-01,7.00E-01,-1.43E+00,2.47E+01,3.53E+01,#NUM!
AL450384.2,2.65E-01,6.14E-01,7.00E-01,-1.43E+00,9.04E-01,1.29E+00,#NUM!
SEMA3F,3.20E-01,6.68E-01,7.00E-01,-1.43E+00,1.13E+00,1.62E+00,#NUM!
FMNL3,2.82E-01,6.33E-01,7.00E-01,-1.43E+00,2.09E+00,2.98E+00,#NUM!
FBXL15,5.75E-02,2.87E-01,7.00E-01,-1.43E+00,5.32E+00,7.61E+00,#NUM!
MAP2K3,3.95E-01,7.32E-01,6.99E-01,-1.43E+00,2.24E+01,3.21E+01,#NUM!
STPG1,1.38E-01,4.54E-01,6.99E-01,-1.43E+00,1.76E+00,2.51E+00,#NUM!
ZNF613,3.07E-01,6.55E-01,6.99E-01,-1.43E+00,1.08E+00,1.55E+00,#NUM!
PAQR5,2.49E-02,1.73E-01,6.99E-01,-1.43E+00,5.22E+01,7.47E+01,#NUM!
TP73-AS1,2.93E-01,6.41E-01,6.99E-01,-1.43E+00,3.21E+00,4.60E+00,#NUM!
AC011498.7,1.39E-01,4.55E-01,6.99E-01,-1.43E+00,2.43E+00,3.48E+00,#NUM!
INIP,6.02E-04,1.40E-02,6.99E-01,-1.43E+00,2.18E+01,3.12E+01,#NUM!
FAM185A,2.12E-01,5.54E-01,6.99E-01,-1.43E+00,1.51E+00,2.16E+00,#NUM!
AC048341.2,5.33E-02,2.74E-01,6.98E-01,-1.43E+00,9.11E+00,1.30E+01,#NUM!
TMEM203,1.72E-02,1.38E-01,6.98E-01,-1.43E+00,2.01E+01,2.88E+01,#NUM!
PDE4D,5.03E-04,1.22E-02,6.98E-01,-1.43E+00,9.01E+01,1.29E+02,#NUM!
MAPK7,3.65E-01,7.07E-01,6.98E-01,-1.43E+00,1.93E+00,2.76E+00,#NUM!
MAPK9,1.16E-02,1.07E-01,6.98E-01,-1.43E+00,1.24E+01,1.77E+01,#NUM!
AL096870.2,3.81E-01,7.21E-01,6.98E-01,-1.43E+00,3.00E+00,4.30E+00,#NUM!
TNS2,2.19E-01,5.64E-01,6.98E-01,-1.43E+00,9.31E+00,1.33E+01,#NUM!
TMEM246,1.23E-03,2.32E-02,6.98E-01,-1.43E+00,1.42E+01,2.04E+01,#NUM!
C16orf95,1.47E-01,4.68E-01,6.98E-01,-1.43E+00,3.64E+00,5.21E+00,#NUM!
AC145207.5,5.89E-02,2.91E-01,6.98E-01,-1.43E+00,5.48E+00,7.86E+00,#NUM!
GPSM1,1.40E-01,4.57E-01,6.97E-01,-1.43E+00,4.69E+00,6.73E+00,#NUM!
FAM120A,2.88E-03,4.23E-02,6.97E-01,-1.43E+00,2.26E+02,3.24E+02,#NUM!
PRKCE,1.60E-02,1.31E-01,6.97E-01,-1.44E+00,6.78E+00,9.73E+00,#NUM!
CEP57L1,3.35E-02,2.07E-01,6.97E-01,-1.44E+00,6.87E+00,9.85E+00,#NUM!
DTWD1,2.18E-02,1.59E-01,6.97E-01,-1.44E+00,1.05E+01,1.50E+01,#NUM!
TGIF2,6.30E-02,3.02E-01,6.97E-01,-1.44E+00,5.46E+00,7.84E+00,#NUM!
SMC2,1.99E-04,6.03E-03,6.96E-01,-1.44E+00,1.82E+02,2.62E+02,#NUM!
AC046176.1,1.66E-01,4.92E-01,6.96E-01,-1.44E+00,3.30E+00,4.75E+00,#NUM!
MED20,1.68E-01,4.95E-01,6.96E-01,-1.44E+00,2.96E+00,4.25E+00,#NUM!
HMGB2,2.94E-05,1.37E-03,6.95E-01,-1.44E+00,4.55E+01,6.54E+01,#NUM!
TXNIP,3.78E-01,7.18E-01,6.95E-01,-1.44E+00,1.33E+00,1.92E+00,#NUM!
CDK5R1,6.19E-02,2.99E-01,6.95E-01,-1.44E+00,4.99E+00,7.18E+00,#NUM!
NDUFB8P2,4.76E-02,2.57E-01,6.95E-01,-1.44E+00,1.73E+00,2.49E+00,#NUM!
CKS2,4.52E-03,5.77E-02,6.95E-01,-1.44E+00,5.37E+01,7.73E+01,#NUM!
GAS6,1.36E-01,4.51E-01,6.95E-01,-1.44E+00,7.82E-01,1.13E+00,#NUM!
SLC26A11,9.52E-02,3.78E-01,6.95E-01,-1.44E+00,4.58E+00,6.59E+00,#NUM!
CCNE2,2.22E-01,5.67E-01,6.95E-01,-1.44E+00,2.33E+00,3.35E+00,#NUM!
RPL23AP53,2.85E-01,6.36E-01,6.95E-01,-1.44E+00,1.87E+00,2.70E+00,#NUM!
IMPACT,7.85E-03,8.41E-02,6.95E-01,-1.44E+00,1.07E+01,1.54E+01,#NUM!
AC105942.1,4.61E-01,7.77E-01,6.94E-01,-1.44E+00,5.16E-01,7.43E-01,#NUM!
ONECUT2,8.39E-01,9.58E-01,6.93E-01,-1.44E+00,1.28E+01,1.84E+01,#NUM!
OBSL1,1.42E-02,1.23E-01,6.93E-01,-1.44E+00,6.47E+00,9.33E+00,#NUM!
CENPBD1,1.22E-02,1.11E-01,6.93E-01,-1.44E+00,9.61E+00,1.39E+01,#NUM!
SSNA1,7.37E-03,8.09E-02,6.93E-01,-1.44E+00,2.47E+01,3.56E+01,#NUM!
RNASET2,3.16E-02,2.01E-01,6.93E-01,-1.44E+00,8.10E+00,1.17E+01,#NUM!
ACAT1,3.08E-02,1.97E-01,6.93E-01,-1.44E+00,1.72E+01,2.49E+01,#NUM!
ELP4,1.45E-01,4.65E-01,6.93E-01,-1.44E+00,5.55E+00,8.02E+00,#NUM!
ZFPM1,7.29E-02,3.26E-01,6.93E-01,-1.44E+00,6.01E+00,8.67E+00,#NUM!
CUX1,1.65E-06,1.47E-04,6.92E-01,-1.44E+00,9.48E+01,1.37E+02,#NUM!
CTSH,1.77E-01,5.09E-01,6.92E-01,-1.45E+00,4.48E+00,6.47E+00,#NUM!
ERP44,8.91E-02,3.64E-01,6.92E-01,-1.45E+00,1.53E+01,2.21E+01,#NUM!
PPP2R3A,5.97E-02,2.92E-01,6.91E-01,-1.45E+00,3.50E+00,5.07E+00,#NUM!
HIBADH,3.01E-01,6.48E-01,6.91E-01,-1.45E+00,2.08E+00,3.01E+00,#NUM!
DNER,3.39E-01,6.84E-01,6.91E-01,-1.45E+00,1.18E+00,1.71E+00,#NUM!
TDRKH,6.35E-02,3.03E-01,6.91E-01,-1.45E+00,2.38E+00,3.45E+00,#NUM!
LSM6,1.05E-01,3.95E-01,6.91E-01,-1.45E+00,6.69E+00,9.68E+00,#NUM!
MTMR11,1.29E-01,4.40E-01,6.91E-01,-1.45E+00,3.06E+00,4.43E+00,#NUM!
THAP7,3.74E-03,5.10E-02,6.90E-01,-1.45E+00,7.18E+00,1.04E+01,#NUM!
NOCT,7.61E-01,9.33E-01,6.90E-01,-1.45E+00,1.76E+00,2.55E+00,#NUM!
RNU2-63P,3.43E-01,6.89E-01,6.90E-01,-1.45E+00,1.59E+00,2.30E+00,#NUM!
GNPDA2,1.10E-01,4.02E-01,6.90E-01,-1.45E+00,3.44E+00,4.99E+00,#NUM!
AC102953.2,2.08E-01,5.50E-01,6.89E-01,-1.45E+00,2.57E+00,3.72E+00,#NUM!
MCRIP2,1.68E-02,1.35E-01,6.89E-01,-1.45E+00,1.22E+01,1.76E+01,#NUM!
RABL6,2.00E-05,1.01E-03,6.89E-01,-1.45E+00,7.16E+01,1.04E+02,#NUM!
Sep-06,7.46E-05,2.81E-03,6.89E-01,-1.45E+00,1.96E+01,2.85E+01,#NUM!
SNHG20,3.15E-02,2.00E-01,6.88E-01,-1.45E+00,3.45E+00,5.01E+00,#NUM!
AC067942.2,3.68E-01,7.10E-01,6.88E-01,-1.45E+00,3.53E+00,5.13E+00,#NUM!
CROCC,6.47E-02,3.06E-01,6.88E-01,-1.45E+00,1.97E+00,2.86E+00,#NUM!
KIF27,5.42E-02,2.77E-01,6.88E-01,-1.45E+00,5.70E+00,8.29E+00,#NUM!
NFKBID,2.10E-01,5.53E-01,6.88E-01,-1.45E+00,2.00E+00,2.91E+00,#NUM!
ZNF273,3.85E-01,7.25E-01,6.87E-01,-1.46E+00,2.29E+00,3.33E+00,#NUM!
FOXRED2,1.95E-04,6.01E-03,6.87E-01,-1.46E+00,4.29E+01,6.24E+01,#NUM!
OSBPL6,2.91E-01,6.41E-01,6.87E-01,-1.46E+00,2.23E+00,3.24E+00,#NUM!
ZNF23,1.29E-01,4.39E-01,6.86E-01,-1.46E+00,3.06E+00,4.45E+00,#NUM!
UBQLN1,1.02E-02,9.91E-02,6.86E-01,-1.46E+00,5.87E+01,8.56E+01,#NUM!
AC074183.2,4.27E-01,7.56E-01,6.86E-01,-1.46E+00,1.49E+00,2.18E+00,#NUM!
DHRS4-AS1,6.59E-03,7.45E-02,6.86E-01,-1.46E+00,1.19E+01,1.74E+01,#NUM!
SIMC1,1.80E-01,5.15E-01,6.86E-01,-1.46E+00,5.45E+00,7.94E+00,#NUM!
MRPS31P5,2.08E-01,5.50E-01,6.86E-01,-1.46E+00,1.63E+00,2.37E+00,#NUM!
LINC00562,3.12E-01,6.58E-01,6.86E-01,-1.46E+00,8.90E-01,1.30E+00,#NUM!
ACO2,6.43E-03,7.34E-02,6.85E-01,-1.46E+00,2.31E+01,3.37E+01,#NUM!
HACL1,1.31E-01,4.44E-01,6.85E-01,-1.46E+00,5.71E+00,8.33E+00,#NUM!
WDR90,5.02E-02,2.65E-01,6.85E-01,-1.46E+00,8.40E+00,1.23E+01,#NUM!
AC022400.8,6.19E-02,2.99E-01,6.85E-01,-1.46E+00,3.24E+00,4.73E+00,#NUM!
ADCY7,3.59E-01,7.02E-01,6.85E-01,-1.46E+00,4.10E+00,5.99E+00,#NUM!
ILKAP,2.34E-04,6.71E-03,6.85E-01,-1.46E+00,1.23E+01,1.80E+01,#NUM!
TRMT112,1.71E-03,2.92E-02,6.85E-01,-1.46E+00,2.37E+02,3.47E+02,#NUM!
DDX10P2,2.16E-02,1.59E-01,6.84E-01,-1.46E+00,4.13E+00,6.03E+00,#NUM!
DGAT2,2.28E-01,5.74E-01,6.84E-01,-1.46E+00,1.56E+00,2.28E+00,#NUM!
GON7,3.70E-01,7.12E-01,6.84E-01,-1.46E+00,4.93E+00,7.20E+00,#NUM!
NRSN2-AS1,9.95E-02,3.84E-01,6.84E-01,-1.46E+00,9.46E-01,1.38E+00,#NUM!
FBXW4P1,5.37E-01,8.25E-01,6.83E-01,-1.46E+00,1.51E+00,2.21E+00,#NUM!
MRPL34,2.12E-01,5.54E-01,6.83E-01,-1.46E+00,2.08E+01,3.05E+01,#NUM!
C8orf44,1.35E-01,4.50E-01,6.83E-01,-1.46E+00,1.09E+00,1.59E+00,#NUM!
FAM206A,1.76E-01,5.09E-01,6.83E-01,-1.46E+00,3.29E+00,4.81E+00,#NUM!
DXO,5.78E-02,2.87E-01,6.83E-01,-1.46E+00,4.10E+00,6.01E+00,#NUM!
PRDM11,8.39E-02,3.53E-01,6.82E-01,-1.47E+00,2.16E+00,3.16E+00,#NUM!
SIK2,6.96E-02,3.18E-01,6.82E-01,-1.47E+00,6.11E+00,8.95E+00,#NUM!
C2orf81,8.33E-01,9.56E-01,6.82E-01,-1.47E+00,1.49E+00,2.19E+00,#NUM!
UBAC1,7.52E-05,2.82E-03,6.82E-01,-1.47E+00,3.92E+01,5.75E+01,#NUM!
PCBD2,6.13E-03,7.11E-02,6.82E-01,-1.47E+00,8.22E+00,1.21E+01,#NUM!
SMG1P1,2.06E-01,5.49E-01,6.81E-01,-1.47E+00,2.01E+00,2.95E+00,#NUM!
RHOV,1.39E-01,4.54E-01,6.81E-01,-1.47E+00,9.18E+00,1.35E+01,#NUM!
C19orf54,3.81E-02,2.24E-01,6.81E-01,-1.47E+00,6.28E+00,9.22E+00,#NUM!
CDC37L1-DT,3.26E-01,6.72E-01,6.81E-01,-1.47E+00,1.24E+00,1.82E+00,#NUM!
URM1,9.13E-04,1.88E-02,6.81E-01,-1.47E+00,2.69E+01,3.95E+01,#NUM!
PCSK9,6.53E-02,3.07E-01,6.81E-01,-1.47E+00,4.18E+00,6.14E+00,#NUM!
LPAR1,2.15E-02,1.58E-01,6.81E-01,-1.47E+00,9.14E+00,1.34E+01,#NUM!
ZNF416,2.69E-01,6.18E-01,6.80E-01,-1.47E+00,7.09E-01,1.04E+00,#NUM!
MRPS2,1.35E-03,2.47E-02,6.80E-01,-1.47E+00,3.76E+01,5.53E+01,#NUM!
INAFM2,4.11E-01,7.44E-01,6.80E-01,-1.47E+00,9.61E-01,1.41E+00,#NUM!
C11orf95,9.38E-02,3.74E-01,6.80E-01,-1.47E+00,4.82E+00,7.09E+00,#NUM!
PSMB8-AS1,8.20E-01,9.53E-01,6.80E-01,-1.47E+00,3.29E-01,4.84E-01,#NUM!
FZD2,1.57E-01,4.81E-01,6.80E-01,-1.47E+00,2.12E+01,3.13E+01,#NUM!
MTHFD2L,2.21E-02,1.61E-01,6.79E-01,-1.47E+00,9.58E+00,1.41E+01,#NUM!
TFB1M,6.10E-03,7.09E-02,6.78E-01,-1.47E+00,9.95E+00,1.47E+01,#NUM!
TMEM80,3.86E-02,2.26E-01,6.78E-01,-1.47E+00,3.86E+00,5.69E+00,#NUM!
ZBTB6,2.91E-02,1.90E-01,6.78E-01,-1.48E+00,4.39E+00,6.48E+00,#NUM!
MED30,7.79E-01,9.39E-01,6.77E-01,-1.48E+00,1.14E+00,1.68E+00,#NUM!
ZNF696,1.98E-01,5.40E-01,6.77E-01,-1.48E+00,3.69E+00,5.45E+00,#NUM!
UQCRHL,3.66E-01,7.08E-01,6.76E-01,-1.48E+00,4.49E+00,6.63E+00,#NUM!
C15orf61,9.98E-02,3.84E-01,6.76E-01,-1.48E+00,1.56E+01,2.31E+01,#NUM!
AC137767.1,2.90E-01,6.41E-01,6.76E-01,-1.48E+00,2.54E+00,3.75E+00,#NUM!
ABCB10,3.69E-01,7.11E-01,6.76E-01,-1.48E+00,4.42E+00,6.54E+00,#NUM!
THAP4,2.35E-02,1.67E-01,6.76E-01,-1.48E+00,1.38E+01,2.04E+01,#NUM!
SPA17,6.99E-04,1.55E-02,6.76E-01,-1.48E+00,1.55E+01,2.30E+01,#NUM!
FAM72D,2.20E-01,5.65E-01,6.75E-01,-1.48E+00,1.03E+01,1.52E+01,#NUM!
SLC4A8,3.81E-01,7.21E-01,6.75E-01,-1.48E+00,1.91E+00,2.82E+00,#NUM!
UCK1,2.42E-03,3.73E-02,6.75E-01,-1.48E+00,7.99E+00,1.18E+01,#NUM!
PDP1,3.48E-03,4.85E-02,6.75E-01,-1.48E+00,6.94E+00,1.03E+01,#NUM!
TUBB3,1.74E-04,5.45E-03,6.75E-01,-1.48E+00,1.23E+02,1.82E+02,#NUM!
MSRB2,3.30E-02,2.06E-01,6.75E-01,-1.48E+00,3.03E+01,4.49E+01,#NUM!
EFCAB11,3.85E-02,2.26E-01,6.75E-01,-1.48E+00,7.15E+00,1.06E+01,#NUM!
LTBP2,1.66E-02,1.34E-01,6.74E-01,-1.48E+00,4.07E+00,6.03E+00,#NUM!
MBLAC2,8.12E-03,8.61E-02,6.74E-01,-1.48E+00,9.86E+00,1.46E+01,#NUM!
ERMARD,3.22E-02,2.03E-01,6.74E-01,-1.48E+00,3.75E+00,5.56E+00,#NUM!
POLE3,6.27E-06,4.03E-04,6.74E-01,-1.48E+00,1.19E+02,1.76E+02,#NUM!
ADGRG1,2.04E-02,1.53E-01,6.73E-01,-1.49E+00,2.98E+01,4.43E+01,#NUM!
AC024619.4,5.73E-02,2.86E-01,6.73E-01,-1.49E+00,7.00E+00,1.04E+01,#NUM!
SPEF2,8.04E-02,3.45E-01,6.73E-01,-1.49E+00,6.80E+00,1.01E+01,#NUM!
MPC1,9.48E-02,3.77E-01,6.73E-01,-1.49E+00,3.96E+00,5.89E+00,#NUM!
ETV1,7.78E-01,9.39E-01,6.73E-01,-1.49E+00,6.11E+00,9.07E+00,#NUM!
PHF19,1.46E-03,2.62E-02,6.73E-01,-1.49E+00,3.02E+01,4.50E+01,#NUM!
PTPRF,8.35E-02,3.52E-01,6.73E-01,-1.49E+00,8.24E+01,1.23E+02,#NUM!
CDKN2C,5.76E-03,6.79E-02,6.73E-01,-1.49E+00,9.39E+00,1.40E+01,#NUM!
VCPKMT,1.85E-02,1.44E-01,6.73E-01,-1.49E+00,3.57E+00,5.31E+00,#NUM!
CENPH,2.01E-03,3.27E-02,6.72E-01,-1.49E+00,1.64E+01,2.44E+01,#NUM!
CAMSAP1,4.41E-04,1.10E-02,6.72E-01,-1.49E+00,2.13E+01,3.17E+01,#NUM!
ZBTB43,3.79E-04,9.73E-03,6.72E-01,-1.49E+00,1.66E+01,2.47E+01,#NUM!
AL049840.3,2.33E-01,5.79E-01,6.72E-01,-1.49E+00,1.19E+00,1.76E+00,#NUM!
TSACC,2.78E-01,6.29E-01,6.72E-01,-1.49E+00,1.74E+00,2.59E+00,#NUM!
PIN4P1,2.28E-01,5.74E-01,6.72E-01,-1.49E+00,1.74E+00,2.58E+00,#NUM!
MAGEE1,2.18E-01,5.62E-01,6.72E-01,-1.49E+00,3.12E+00,4.65E+00,#NUM!
AC100861.1,2.52E-01,6.00E-01,6.72E-01,-1.49E+00,2.06E+00,3.06E+00,#NUM!
PTCH1,1.55E-01,4.78E-01,6.72E-01,-1.49E+00,1.14E+00,1.70E+00,#NUM!
MPLKIP,1.36E-02,1.20E-01,6.72E-01,-1.49E+00,1.90E+01,2.82E+01,#NUM!
SMAD7,1.54E-01,4.77E-01,6.71E-01,-1.49E+00,4.61E+00,6.87E+00,#NUM!
DOC2A,2.63E-01,6.13E-01,6.71E-01,-1.49E+00,1.48E+00,2.21E+00,#NUM!
FDXACB1,2.60E-01,6.10E-01,6.71E-01,-1.49E+00,1.72E+00,2.56E+00,#NUM!
PXMP2,1.27E-03,2.38E-02,6.71E-01,-1.49E+00,1.29E+01,1.92E+01,#NUM!
SLC6A6,1.89E-04,5.84E-03,6.71E-01,-1.49E+00,3.05E+01,4.54E+01,#NUM!
XYLB,7.32E-02,3.27E-01,6.71E-01,-1.49E+00,4.59E+00,6.85E+00,#NUM!
FAM72A,7.32E-02,3.27E-01,6.70E-01,-1.49E+00,2.11E+01,3.15E+01,#NUM!
UQCRBP1,1.08E-01,4.00E-01,6.70E-01,-1.49E+00,2.80E+00,4.18E+00,#NUM!
PSMA6P1,3.09E-02,1.98E-01,6.70E-01,-1.49E+00,4.55E+00,6.79E+00,#NUM!
SNHG25,7.74E-03,8.36E-02,6.70E-01,-1.49E+00,5.40E+02,8.06E+02,#NUM!
SLC25A15,1.99E-01,5.40E-01,6.70E-01,-1.49E+00,1.89E+00,2.82E+00,#NUM!
DDIT4L,7.83E-01,9.41E-01,6.70E-01,-1.49E+00,4.51E-01,6.73E-01,#NUM!
NSMAF,2.04E-01,5.46E-01,6.70E-01,-1.49E+00,1.02E+01,1.53E+01,#NUM!
EVL,5.31E-03,6.43E-02,6.69E-01,-1.49E+00,1.44E+01,2.14E+01,#NUM!
SBF2-AS1,8.37E-02,3.52E-01,6.69E-01,-1.50E+00,3.78E+00,5.64E+00,#NUM!
TAF6L,1.16E-01,4.15E-01,6.69E-01,-1.50E+00,1.49E+00,2.23E+00,#NUM!
