Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
SARM1,8.44E-05,3.07E-03,2.94E+00,2.94E+00,8.30E+00,2.82E+00,1.557949827
SLC8A1,7.89E-04,1.69E-02,2.94E+00,2.94E+00,2.96E+00,1.01E+00,1.554803047
TNIK,5.58E-04,1.31E-02,2.93E+00,2.93E+00,5.53E+00,1.88E+00,1.553352623
SMTN,1.84E-05,9.43E-04,2.89E+00,2.89E+00,1.05E+01,3.63E+00,1.533481067
F11R,3.16E-07,3.76E-05,2.88E+00,2.88E+00,3.88E+01,1.35E+01,1.527299928
FAM50B,1.35E-02,1.19E-01,2.88E+00,2.88E+00,2.82E+00,9.80E-01,1.52619209
PAIP2B,2.48E-02,1.72E-01,2.88E+00,2.88E+00,1.06E+00,3.70E-01,1.524618556
HDAC9,1.22E-02,1.11E-01,2.87E+00,2.87E+00,1.96E+00,6.83E-01,1.520644283
DMKN,4.08E-01,7.42E-01,2.86E+00,2.86E+00,3.17E+01,1.11E+01,1.518201094
CORO2A,2.85E-04,7.80E-03,2.85E+00,2.85E+00,5.61E+00,1.97E+00,1.513393824
ABCG2,5.27E-01,8.20E-01,2.84E+00,2.84E+00,3.36E+01,1.18E+01,1.505286492
AR,8.12E-12,1.45E-08,2.84E+00,2.84E+00,8.88E+01,3.13E+01,1.503634791
STAC,4.39E-01,7.64E-01,2.83E+00,2.83E+00,2.18E+00,7.68E-01,1.502914542
TCP11L2,3.89E-03,5.24E-02,2.83E+00,2.83E+00,3.27E+00,1.16E+00,1.498402908
ZNF239,7.84E-03,8.41E-02,2.82E+00,2.82E+00,3.78E+00,1.34E+00,1.493331403
IFI16,1.42E-05,7.81E-04,2.81E+00,2.81E+00,6.17E+00,2.20E+00,1.491003031
C5,2.05E-08,5.00E-06,2.80E+00,2.80E+00,2.31E+01,8.24E+00,1.487348359
PAQR7,1.17E-02,1.08E-01,2.80E+00,2.80E+00,4.01E+00,1.43E+00,1.485291684
SLC16A4,6.64E-05,2.56E-03,2.79E+00,2.79E+00,9.48E+00,3.40E+00,1.480128637
UNC13D,5.42E-05,2.15E-03,2.79E+00,2.79E+00,3.77E+01,1.35E+01,1.4799667
AC116917.1,3.20E-04,8.51E-03,2.79E+00,2.79E+00,1.06E+01,3.80E+00,1.479827406
C9orf47,4.54E-02,2.49E-01,2.78E+00,2.78E+00,1.80E+00,6.48E-01,1.477245972
RDH10,1.07E-04,3.63E-03,2.75E+00,2.75E+00,1.45E+01,5.27E+00,1.461674412
PROS1,1.47E-02,1.25E-01,2.75E+00,2.75E+00,7.48E+00,2.72E+00,1.461603798
YPEL3,8.25E-03,8.66E-02,2.75E+00,2.75E+00,3.44E+00,1.25E+00,1.458219265
TGFB2,2.31E-08,5.33E-06,2.74E+00,2.74E+00,2.67E+01,9.74E+00,1.453310849
SCARA5,1.88E-02,1.46E-01,2.73E+00,2.73E+00,4.05E+00,1.48E+00,1.449851606
LTBP1,3.62E-05,1.61E-03,2.72E+00,2.72E+00,1.62E+01,5.95E+00,1.444686623
PTK6,1.22E-01,4.27E-01,2.71E+00,2.71E+00,2.88E+00,1.06E+00,1.435796165
DGKA,8.23E-05,3.02E-03,2.69E+00,2.69E+00,7.23E+00,2.69E+00,1.429663462
LPCAT2,1.02E-04,3.49E-03,2.69E+00,2.69E+00,6.30E+00,2.34E+00,1.428280042
DDX58,7.99E-05,2.95E-03,2.68E+00,2.68E+00,5.60E+00,2.09E+00,1.421993935
TIMP4,4.65E-01,7.79E-01,2.66E+00,2.66E+00,3.63E+00,1.36E+00,1.413405199
GBP2,4.70E-01,7.83E-01,2.66E+00,2.66E+00,2.44E+00,9.17E-01,1.409882747
SGK1,8.18E-04,1.73E-02,2.65E+00,2.65E+00,5.50E+00,2.08E+00,1.40609834
RNF19A,1.97E-10,1.53E-07,2.65E+00,2.65E+00,5.95E+01,2.25E+01,1.404582767
RGL1,4.21E-01,7.51E-01,2.62E+00,2.62E+00,1.79E+00,6.82E-01,1.391089151
PLA2R1,3.00E-03,4.35E-02,2.61E+00,2.61E+00,3.40E+00,1.30E+00,1.384826452
TICAM1,1.62E-02,1.33E-01,2.60E+00,2.60E+00,1.72E+00,6.62E-01,1.37674328
ENDOD1,8.30E-07,8.70E-05,2.59E+00,2.59E+00,3.00E+01,1.16E+01,1.371706307
OSGIN2,3.68E-06,2.79E-04,2.59E+00,2.59E+00,6.18E+01,2.39E+01,1.370600882
ADCY9,4.19E-05,1.80E-03,2.58E+00,2.58E+00,5.38E+00,2.08E+00,1.369089396
PGM2L1,2.60E-10,1.80E-07,2.58E+00,2.58E+00,5.77E+01,2.24E+01,1.368513226
AL391069.3,5.42E-02,2.77E-01,2.58E+00,2.58E+00,1.50E+00,5.79E-01,1.36813901
MR1,2.43E-04,6.92E-03,2.57E+00,2.57E+00,8.05E+00,3.13E+00,1.363599732
GLIPR2,4.59E-05,1.91E-03,2.57E+00,2.57E+00,5.54E+00,2.16E+00,1.360662659
MAP3K1,1.03E-06,1.03E-04,2.56E+00,2.56E+00,2.67E+01,1.04E+01,1.358869376
MLXIPL,4.34E-03,5.65E-02,2.56E+00,2.56E+00,2.41E+00,9.41E-01,1.356077431
